"EXCHANGE","CONTRACT","DEL.MONTH","C/P/F","STRIKE","CLOSEOUT LOT","LONG TRADE PRICE","SHORT TRADE PRICE","REALISED PL","PL CCY","LONG TRADE DATE","SHORT TRADE DATE","LONG DEAL REF","SHORT DEAL REF","CLIENT CODE"
"NDEX","C","202512","F","0.00","1","67.8400","68.9300","1,090.00","EUR","04/03/2025","28/03/2025","1176210224","1178943182","WF300"
"NDEX","C","202512","F","0.00","2","67.8400","68.9300","2,180.00","EUR","04/03/2025","28/03/2025","1176210224","1178943183","WF300"
"NDEX","C","202512","F","0.00","7","67.8400","68.9300","7,630.00","EUR","04/03/2025","28/03/2025","1176210225","1178943183","WF300"
"NDEX","C","202512","F","0.00","1","67.9100","68.9600","1,050.00","EUR","04/03/2025","28/03/2025","1176210227","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9100","68.9600","1,050.00","EUR","04/03/2025","28/03/2025","1176210228","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9100","68.9600","1,050.00","EUR","04/03/2025","28/03/2025","1176210229","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9100","68.9600","1,050.00","EUR","04/03/2025","28/03/2025","1176210230","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9200","68.9600","1,040.00","EUR","04/03/2025","28/03/2025","1176210231","1178943622","WF300"
"NDEX","C","202512","F","0.00","2","67.9200","68.9600","2,080.00","EUR","04/03/2025","28/03/2025","1176210232","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9300","68.9600","1,030.00","EUR","04/03/2025","28/03/2025","1176210233","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9300","68.9600","1,030.00","EUR","04/03/2025","28/03/2025","1176210234","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.9300","68.9600","1,030.00","EUR","04/03/2025","28/03/2025","1176210235","1178943622","WF300"
"NDEX","C","202512","F","0.00","1","67.6800","68.9700","1,290.00","EUR","11/03/2025","28/03/2025","1177044498","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.6900","68.9700","1,280.00","EUR","11/03/2025","28/03/2025","1177044499","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.6900","68.9700","1,280.00","EUR","11/03/2025","28/03/2025","1177044500","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.7000","68.9700","1,270.00","EUR","11/03/2025","28/03/2025","1177044501","1178939577","WF300"
"NDEX","C","202512","F","0.00","2","67.7000","68.9700","2,540.00","EUR","11/03/2025","28/03/2025","1177044502","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.7100","68.9700","1,260.00","EUR","11/03/2025","28/03/2025","1177044503","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.7200","68.9800","1,260.00","EUR","11/03/2025","28/03/2025","1177044504","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7200","68.9800","1,260.00","EUR","11/03/2025","28/03/2025","1177044505","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7200","68.9800","1,260.00","EUR","11/03/2025","28/03/2025","1177044506","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7100","68.9700","1,260.00","EUR","11/03/2025","28/03/2025","1177044507","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.7100","68.9700","1,260.00","EUR","11/03/2025","28/03/2025","1177044508","1178939577","WF300"
"NDEX","C","202512","F","0.00","1","67.7100","68.9700","1,260.00","EUR","11/03/2025","28/03/2025","1177044509","1178939577","WF300"
"NDEX","C","202512","F","0.00","2","67.7200","68.9800","2,520.00","EUR","11/03/2025","28/03/2025","1177044510","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7300","68.9800","1,250.00","EUR","11/03/2025","28/03/2025","1177044620","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7300","68.9800","1,250.00","EUR","11/03/2025","28/03/2025","1177044621","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7300","68.9800","1,250.00","EUR","11/03/2025","28/03/2025","1177044622","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7400","68.9800","1,240.00","EUR","11/03/2025","28/03/2025","1177044623","1178939575","WF300"
"NDEX","C","202512","F","0.00","1","67.7400","68.9800","1,240.00","EUR","11/03/2025","28/03/2025","1177044624","1178939575","WF300"
